name,region,county,metres,latitude,longitude,Matthew,Scott,Amy,Emily,More folk please...,...,...,...,
Beinn a' Chaorainn (Cairngorms),08B: Cairngorms,Aberdeenshire/Moray,1083.3,57.093263,-3.577433,,,,,,,,,
Beinn a' Chreachain,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,1080.6,56.560387,-4.647573,,,,,,,,,
Ben Starav,03C: Glen Etive to Glen Lochy,Highland,1079.5,56.538922,-5.049748,,,,,,,,,
Beinn Sheasgarnaich [Beinn Heasgarnich],02B: Glen Lyon to Glen Dochart & Loch Tay,Perth and Kinross,1077.4,56.510254,-4.579217,,,,,,,,,
Beinn Dorain,02A: Loch Rannoch to Glen Lyon,Argyll and Bute,1076,56.50287,-4.722173,,,,,,,,,
Stob Coire Sgreamhach,03B: Loch Linnhe to Loch Etive,Highland,1072,56.638314,-5.010284,2015,,,,,,,,
Beinn a' Ghlo - Braigh Coire Chruinn-bhalgain,06B: Pitlochry to Braemar & Blairgowrie,Perth and Kinross,1070,56.831101,-3.729489,2025,,,,,,,,
Sgurr Fhuaran,11A: Loch Duich to Cannich,Highland,1068.8,57.19615,-5.34765,,,,,,,,,
An Socach (Mullardoch),12B: Killilan to Inverness,Highland,1069,57.350229,-5.158603,2024,,,,,,,,
Glas Maol,07A: Braemar to Montrose,Angus,1067.7,56.873068,-3.368237,2021,,2021,,,,,,
Meall Corranaich,02B: Glen Lyon to Glen Dochart & Loch Tay,Perth and Kinross,1067.2,56.540955,-4.25347,,,2022,,,,,,
Cairn of Claise,07A: Braemar to Montrose,Aberdeenshire/Angus,1063.1,56.894179,-3.338638,2021,,2021,,,,,,
An Teallach - Bidein a' Ghlas Thuill,14A: Loch Maree to Loch Broom,Highland,1062.6,57.807107,-5.251768,,,,,,,,,
An Teallach - Sgurr Fiona,14A: Loch Maree to Loch Broom,Highland,1058.7,57.800726,-5.259443,,,,,,,,,
Liathach - Spidean a' Choire Leith,13A: Loch Torridon to Loch Maree,Highland,1054.8,57.564197,-5.463609,,,,,,,,,
Na Gruagaichean,04A: Fort William to Loch Treig & Loch Leven,Highland,1054.3,56.743699,-4.939851,,,,,,,,,
Toll Creagach,11A: Loch Duich to Cannich,Highland,1053.7,57.309228,-4.999937,,,,,,,,,
Sgurr a' Chaorachain,12A: Kyle of Lochalsh to Garve,Highland,1053,57.452492,-5.189284,,,,,,,,,
Stob Poite Coire Ardair,09C: Loch Lochy to Loch Laggan,Highland,1052.5,56.964037,-4.585762,,,,,,,,,
Glas Tulaichean,06B: Pitlochry to Braemar & Blairgowrie,Perth and Kinross,1051,56.865757,-3.55818,2025,,,,,,,,
Geal Charn (Laggan),04B: Loch Treig to Loch Ericht,Highland,1049.7,56.897763,-4.457236,,,,,,,,,
Beinn a' Chaorainn (Glen Spean),09C: Loch Lochy to Loch Laggan,Highland,1049.1,56.928624,-4.653644,,,,,,,,,
Sgurr Fhuar-thuill,12A: Kyle of Lochalsh to Garve,Highland,1049.2,57.44968,-4.94178,,,,,,,,,
Carn an t-Sagairt Mor,07A: Braemar to Montrose,Aberdeenshire,1047,56.942973,-3.303227,,,,,,,,,
